doc1,doc2,weight
0,1,0.3283945592201842
0,2,0.090698577950501
0,3,0.008160393408879817
0,4,0.09583631091281292
0,5,0.06911189052876276
0,6,0.04861034571111208
0,7,0.1546856790379288
0,8,0.039756111285330485
0,9,0.04097866138160889
0,10,0.026915364146660507
0,11,0.07076231154732612
0,12,0.048175810312492955
0,13,0.05204720528641282
0,14,0.024007427215117005
0,15,0.10721587997596138
0,16,0.11888206480962202
0,17,0.10686762029924332
0,18,0.05110846149817406
0,19,0.07768164426566075
0,20,0.06095147168096647
0,21,0.07931846384068053
0,22,0.03281796997534789
1,2,0.024466485586337842
1,3,0.006164371447362301
1,4,0.15629151843406838
1,5,0.08303594527093995
1,6,0.12366855202675914
1,7,0.2301202489788838
1,8,0.13305293666150167
1,9,0.05532167183370101
1,10,0.09834349579143306
1,11,0.0643913525720373
1,12,0.05643385574954229
1,13,0.09161789083204926
1,14,0.08879350932075089
1,15,0.18819782333756235
1,16,0.07402470475160379
1,17,0.07577318060056788
1,18,0.05734985264273801
1,19,0.054738354972057694
1,20,0.05582154514275504
1,21,0.041174498271557516
1,22,0.046674466167676225
2,3,0.0
2,4,0.024143863668075343
2,5,0.027899698422286043
2,6,0.02737442968194991
2,7,0.028802338541500917
2,8,0.026621913351062926
2,9,0.0162092728403006
2,10,0.00618980810225603
2,11,0.006162967705386006
2,12,0.005804091899546096
2,13,0.0035579824413236086
2,14,0.013130841376812828
2,15,0.006668407685025739
2,16,0.05636747967384493
2,17,0.03195289134010021
2,18,0.019359113422201587
2,19,0.039580279462242705
2,20,0.03049914531938668
2,21,0.008908250166837745
2,22,0.006461265730894991
3,4,0.014701438587531274
3,5,0.0011374060922865338
3,6,0.0055749324890182585
3,7,0.015941453470422397
3,8,0.0013578842269095573
3,9,0.009521570791392014
3,10,0.002416748199724843
3,11,0.014256104385663017
3,12,0.0053705304692866045
3,13,0.004151205775394824
3,14,0.004169639590765315
3,15,0.010290520937373334
3,16,0.004362126479303911
3,17,0.007815560464539998
3,18,0.007476036645286784
3,19,0.0018235542901085843
3,20,0.005821678588536939
3,21,0.008386258307070111
3,22,0.005705941241712888
4,5,0.04326972250609196
4,6,0.040591998534394026
4,7,0.0685997370385629
4,8,0.06892224234648185
4,9,0.027836230440720814
4,10,0.022788811871566606
4,11,0.04410199246220335
4,12,0.03753695809752561
4,13,0.07166363475152328
4,14,0.0435703003115415
4,15,0.13936184568020507
4,16,0.012624231914719852
4,17,0.026138921303399218
4,18,0.01964352182182586
4,19,0.02509295849584064
4,20,0.018242706257674456
4,21,0.020482935473047286
4,22,0.028005680505351533
5,6,0.03163961404627066
5,7,0.07616357377213037
5,8,0.06395718129594276
5,9,0.019131529072317032
5,10,0.04252863152312856
5,11,0.05845868590525564
5,12,0.020618671979886802
5,13,0.022931583921056667
5,14,0.028964583870483944
5,15,0.03691615965526603
5,16,0.007920265801399248
5,17,0.01787596618410947
5,18,0.03712967570494122
5,19,0.01500986384728878
5,20,0.012091614448464074
5,21,0.014536830487437155
5,22,0.009894850078892022
6,7,0.1257194508450283
6,8,0.06526337548656913
6,9,0.023503247806679027
6,10,0.10581667898581598
6,11,0.021522383906681365
6,12,0.018670809136104596
6,13,0.019247989109533407
6,14,0.025225824883808395
6,15,0.09986928122799513
6,16,0.015056817472245906
6,17,0.024346972170396854
6,18,0.013502291339470176
6,19,0.04582880241150031
6,20,0.02576001182200095
6,21,0.013058653567636844
6,22,0.015746476655979662
7,8,0.10995519483189778
7,9,0.035948340852519745
7,10,0.05779441470236804
7,11,0.04546346251902491
7,12,0.03561106534890825
7,13,0.043254938451790056
7,14,0.02110990930345642
7,15,0.10354520082776719
7,16,0.016832452326415392
7,17,0.030444345398905562
7,18,0.024105228836551734
7,19,0.03258537375178965
7,20,0.03677572553356162
7,21,0.019968627056106115
7,22,0.03957266419823677
8,9,0.03543546804756531
8,10,0.11188116518820787
8,11,0.044435557321143994
8,12,0.03878254459691983
8,13,0.042600779266028295
8,14,0.08510677023211445
8,15,0.07288440239567005
8,16,0.014735756565817524
8,17,0.02591813331803244
8,18,0.0353987545254731
8,19,0.026382759926353243
8,20,0.02354450953749794
8,21,0.034855713518405704
8,22,0.03567420488329325
9,10,0.04770391401462565
9,11,0.03954411862788994
9,12,0.03598102357453465
9,13,0.08581496300908657
9,14,0.19387473394525412
9,15,0.09846092638346285
9,16,0.020464608429098932
9,17,0.03001806996945752
9,18,0.031282756703454505
9,19,0.02270622431146296
9,20,0.027483556399952036
9,21,0.02572211992636177
9,22,0.031927024028487946
10,11,0.03103251925638342
10,12,0.04476394259008526
10,13,0.045136101101271586
10,14,0.15930362116048724
10,15,0.11402850084256078
10,16,0.023391499524991602
10,17,0.03224850398173164
10,18,0.03066448246993071
10,19,0.03876677700340964
10,20,0.03713117867849077
10,21,0.05341280938315004
10,22,0.021055877640585963
11,12,0.21679122572540352
11,13,0.1343970535042775
11,14,0.03395381123585198
11,15,0.22071306164618312
11,16,0.027796837964378034
11,17,0.03267581830232717
11,18,0.05047307869563065
11,19,0.02494533104667706
11,20,0.03717796862693948
11,21,0.056272023990179734
11,22,0.03530132641978952
12,13,0.196156547704263
12,14,0.04675201947152601
12,15,0.14090596815422035
12,16,0.028082989601888247
12,17,0.029621248421315142
12,18,0.041054722790727534
12,19,0.029194318683481806
12,20,0.016702749380539842
12,21,0.07757860435472448
12,22,0.030285147531037046
13,14,0.13206157030897483
13,15,0.18201832685604236
13,16,0.022550222387553356
13,17,0.03751925815202761
13,18,0.06373667549972996
13,19,0.022173343111126155
13,20,0.03380122740252697
13,21,0.04009112529289801
13,22,0.0248633126970965
14,15,0.10262494155501793
14,16,0.014023143279994474
14,17,0.02325842764699722
14,18,0.021933308770383485
14,19,0.012975936575707173
14,20,0.01621113931193157
14,21,0.01819594993722508
14,22,0.018385943356989905
15,16,0.04501081539104508
15,17,0.037141573974697153
15,18,0.04105434268968067
15,19,0.048018318786921727
15,20,0.0213442457921611
15,21,0.027163456310941008
15,22,0.04448278595892263
16,17,0.49176759751001536
16,18,0.05187832604990141
16,19,0.2360545603625427
16,20,0.20826974933848022
16,21,0.040383910028429205
16,22,0.02861991672862711
17,18,0.11546033302515497
17,19,0.2203450854771972
17,20,0.6436884733764677
17,21,0.049686028013714696
17,22,0.03286945776166307
18,19,0.04525903717802842
18,20,0.1437958427709982
18,21,0.21126260932172056
18,22,0.037530625893613515
19,20,0.11349165208249566
19,21,0.025709412891653016
19,22,0.020449344110716677
20,21,0.03858686404299877
20,22,0.027792110285794272
21,22,0.037268235140446006
